"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Results"
"Forecasting Extreme Financial Risk: A Critical Analysis of Practical Methods for the Japanese Market","https://scispace.com/papers/forecasting-extreme-financial-risk-a-critical-analysis-of-51eob49f3c","2000","Journal Article","Monetary and and Economic Studies","日本銀行金融研究所
Jon Danielsson
Yuji Morimoto","","https://scispace.com/pdf/forecasting-extreme-financial-risk-a-critical-analysis-of-51eob49f3c.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 61/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to derive tail‑index and VaR forecasts for Japanese financial returns; no bootstrap techniques or comparative/theoretical analyses; focuses on finance.","The various tools for risk measurement and management, especially for value-at-risk (VaR), are compared, with special emphasis on Japanese market data. Traditional Generalized Autoregressive Conditional Heteroskedasticity (GARCH-type methods are compared to extreme value theory (EVT). The distribution of extremes, asymmetry, clustering, and the dynamic structure of VaR all count as criteria for comparison of the various methods. We find that the GARCH class of models is not suitable for VaR forecasting for the sample data, due to both the inaccuracy and the high volatility of the VaR forecasts. In contrast, EVT forecasting of VaR resulted in much better VaR estimates, and more importantly, the EVT forecasts were considerably more stable, enhancing their practical applicability for Japanese market risk forecasts.","The study found that GARCH-type models are not suitable for VaR forecasting with the sample data due to inaccurate and highly volatile forecasts. In contrast, Extreme Value Theory (EVT) forecasting of VaR yielded much better estimates. EVT forecasts were also considerably more stable, enhancing their practical applicability for Japanese market risk forecasts."
"Nonparametric estimation of conditional value-at-risk and expected shortfall based on extreme value theory","https://www.cambridge.org/core/journals/econometric-theory/article/nonparametric-estimation-of-conditional-valueatrisk-and-expected-shortfall-based-on-extreme-value-theory/EE88ACF81C37FF68BAE0E6568F54600D","2018","Journal Article","Econometric Theory","Carlos Martins-Filho
Feng Yao
Maximo Torero","10.1017/S0266466616000517","https://arxiv.org/pdf/1612.08099","Yes","93","QitGCLlCyJQJ","","","","","","","","","SciSpace","- **Relevance Score:** 61/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT (GPD) to estimate CVaR/CES with proven consistency; no bootstrap component, so fails bootstrap criteria; includes Monte‑Carlo and finance application.","We propose nonparametric estimators for conditional value-at-risk (CVaR) and conditional ex- pected shortfall (CES) associated with conditional distributions of a series of returns on a nancial asset. The return series and the conditioning covariates, which may include lagged returns and other exogenous variables, are assumed to be strong mixing and follow a nonparametric conditional location-scale model. First stage nonparametric estimators for location and scale are combined with a generalized Pareto approx- imation for distribution tails proposed by Pickands (1975) to give nal estimators for CVaR and CES. We provide consistency and asymptotic normality of the proposed estimators under suitable normalization. We also present the results of a Monte Carlo study that sheds light on their nite sample performance. Empirical viability of the model and estimators is investigated through a backtesting exercise using returns on future contracts for ve agricultural commodities.","The paper proposes nonparametric estimators for conditional Value-at-Risk (CVaR) and conditional Expected Shortfall (CES), establishing their consistency and asymptotic normality. A Monte Carlo study demonstrates their finite sample performance. The empirical viability of the model and estimators is investigated through a backtesting exercise using returns on future contracts for five agricultural commodities."
"Empirical study of value‐at‐risk and expected shortfall models with heavy tails","https://www.emerald.com/insight/content/doi/10.1108/15265940610648571/full/html","2006","Journal Article","The Journal of Risk Finance","Fotios C. Harmantzis
Linyan Miao
Yifan Chien","10.1108/15265940610648571","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=788624","No","155","tZ6dMq0gwboJ","","","","","","","","","SciSpace","- **Relevance Score:** 58/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses POT EVT to model heavy‑tailed returns, estimates VaR/ES, compares multiple models on financial indices, but lacks bootstrap, theoretical proofs, and Monte‑Carlo simulations.","Purpose – This paper aims to test empirically the performance of different models in measuring VaR and ES in the presence of heavy tails in returns using historical data.Design/methodology/approach – Daily returns of popular indices (S&P500, DAX, CAC, Nikkei, TSE, and FTSE) and currencies (US dollar vs Euro, Yen, Pound, and Canadian dollar) for over ten years are modeled with empirical (or historical), Gaussian, Generalized Pareto (peak over threshold (POT) technique of extreme value theory (EVT)) and Stable Paretian distribution (both symmetric and non‐symmetric). Experimentation on different factors that affect modeling, e.g. rolling window size and confidence level, has been conducted.Findings – In estimating VaR, the results show that models that capture rare events can predict risk more accurately than non‐fat‐tailed models. For ES estimation, the historical model (as expected) and POT method are proved to give more accurate estimations. Gaussian model underestimates ES, while Stable Paretian framewo...","In estimating VaR, models that capture rare events predict risk more accurately than non-fat-tailed models. For ES estimation, the historical model and the POT method provide more accurate estimations. The Gaussian model underestimates ES. These findings suggest that models accounting for heavy tails are crucial for accurate risk measurement."
"An extreme value method to study decadal hurricane wind trends","http://arxiv.org/abs/2505.08591v1","2025","Preprint","","Alexandre Payez
Ad Stoffelen
Cees de Valk
Rianne Giesen","","http://arxiv.org/pdf/2505.08591v1","Yes","","","","","","","http://arxiv.org/abs/2505.08591v1","2025-05-13T14:02:55Z","physics.ao-ph","physics.ao-ph","arXiv","- **Relevance Score:** 58/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model wind extremes and block‑bootstrap for uncertainty; focuses on percentile trends, not VaR/ES; compares EVT fits; applies to environmental data.","This paper presents a method developed using techniques from extreme value theory to estimate smooth wind-speed percentiles, allowing us to consider more extreme wind speeds while being less sensitive to the noise that stems from the scarcity of extreme data. A reliable characterisation of wind extremes is the first required step for studying decadal trends in tropical-cyclone and extra-tropical-cyclone winds. We develop a percentile-smoothing method using ASCAT-A Level-3 products, focusing on a number of tropical basins (Caribbean and Atlantic), estimate the uncertainty with the block-bootstrap technique to address the issue of dependency, and apply our method to both scatterometer winds (ASCAT-A at two different resolutions) and collocated ERA5 model data. The results obtained are very robust at basin level, without having to rely on a strong assumption for the distribution tail: they are very consistent whether we use exponential fits, generalised-Pareto fits, or even no fit at all, down to at least truly extreme wind percentiles such as 99.999th (main result), and remain quite consistent within uncertainties down to 99.9999th. As ensuring scientifically sound decadal-trend conclusions would require going back sufficiently in time, spanning the lifetimes of different instruments with different characteristics and extreme-wind statistics, a natural follow-on study would be to apply this method not only to ASCAT, but also to its predecessors on QuikSCAT and ERS - comparing each scatterometer individually against ERA5, and also to each other as partial overlaps exist between instruments.","The method developed yields very robust results at basin level, consistent across exponential, generalized-Pareto, or no-fit approaches. This consistency holds for extreme wind percentiles down to at least the 99.999th, and remains quite consistent within uncertainties down to the 99.9999th percentile. This robustness is achieved without strong assumptions about the distribution tail. A practical implication is the potential to apply this method to historical scatterometer data (QuikSCAT, ERS) to enable scientifically sound decadal-trend conclusions by comparing instruments against ERA5 and each other."
"Portfolio Tail Risk: A Multivariate Extreme Value Theory Approach.","https://scispace.com/papers/portfolio-tail-risk-a-multivariate-extreme-value-theory-2dpn8ilpxp","2020","Journal Article","Entropy","Miloš Božović","10.3390/E22121425","https://www.mdpi.com/1099-4300/22/12/1425/pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 57/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to derive closed‑form VaR/ES; no bootstrap component. Compares to multivariate parametric models, applies to US stock portfolio, includes Monte‑Carlo style simulations but lacks formal bootstrap theory.","This paper develops a method for assessing portfolio tail risk based on extreme value theory. The technique applies separate estimations of univariate series and allows for closed-form expressions for Value at Risk and Expected Shortfall. Its forecasting ability is tested on a portfolio of U.S. stocks. The in-sample goodness-of-fit tests indicate that the proposed approach is better suited for portfolio risk modeling under extreme market movements than comparable multivariate parametric methods. Backtesting across multiple quantiles demonstrates that the model cannot be rejected at any reasonable level of significance, even when periods of stress are included. Numerical simulations corroborate the empirical results.","The proposed extreme value theory approach for portfolio tail risk modeling is better suited for extreme market movements than comparable multivariate parametric methods, as indicated by in-sample goodness-of-fit tests. The model's forecasting ability, tested on a U.S. stock portfolio, cannot be rejected at any reasonable significance level during backtesting across multiple quantiles, even when stress periods are included. Numerical simulations support these empirical findings. This method allows for closed-form expressions for Value at Risk and Expected Shortfall."
"Value at Risk Models - an Approach to Measuring Bank Foreign Exchange Exposure -dissertation paper-","https://scispace.com/papers/value-at-risk-models-an-approach-to-measuring-bank-foreign-58gnf05a48","2000","","","Anca Dimitriu
Moisa Altar","","https://scispace.com/pdf/value-at-risk-models-an-approach-to-measuring-bank-foreign-58gnf05a48.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 57/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT tail‑index estimation for VaR in banking FX exposure; no bootstrap component; compares several VaR models; applies to finance; includes simulated portfolio examples but lacks theoretical bootstrap guarantees.","Following the 1993 Amendment to the European Commission’s Capital Adequacy Directive, and the 1998 implementation of a similar approach in the US, banks are currently required to hold capital against market risk There are now created the opportunities for banks to use their internal value at risk models, as opposed to the standard regulatory formulae, as a basis for setting capital charges A wider use of VaR models also in emerging market economies could be an important step towards greater stability in the banking sector and further development of solid financial markets In a number of emerging markets, banks are already allowed to use VaR techniques in order to assess and manage their exposure to adverse changes in the market conditions As prospects for accession to the EU increase, and with the launching of the euro, CEE transition economies bank risk management practices and policies are likely to face new pressures for further mutation New members of the EU will be expected to adopt the aquis communitaire, and this will include the common framework for treating risk and the system of capital requirements Although the supervision authority does not indicate a specific approach to be used, the penalties associated with internal model failures in accurately forecasting the distribution of future losses raise the issue of model selection This paper examines the empirical performance of several value at risk estimation techniques employed to model bank foreign exchange exposure perceived from a banking regulation perspective We compare the performances of each model through a simulation methodology for a random portfolio containing spot position in five currencies against ROL, daily adjusted over a sample period of 22 months Performance assessment is based on a range of tests that address the relative size and variability of VaR estimates, accuracy features from a backtesting perspective and nevertheless efficiency in setting capital charges We found an important dispersion between different models VaR estimates, but no model was identified as being insufficiently conservative in its risk measurement The paper concludes that, although the tests are not precise enough to allow a categorical discrimination between models, they do provide useful diagnostic information for evaluating model performances","The paper found an important dispersion between different models' Value at Risk (VaR) estimates, yet no model was identified as insufficiently conservative in its risk measurement. Performance assessment involved tests addressing the relative size and variability of VaR estimates, accuracy from a backtesting perspective, and efficiency in setting capital charges. The tests, while not precise enough for categorical discrimination between models, provided useful diagnostic information for evaluating model performances. This suggests the utility of VaR models for measuring bank foreign exchange exposure from a banking regulation perspective."
"An Application of Extreme Value Theory for Measuring Financial Risk 1","https://scispace.com/papers/an-application-of-extreme-value-theory-for-measuring-42fygo1aoq","2006","","","Manfred Gilli
Evis Kellezi","","","Yes","333","","","","","","","","","","SciSpace","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to compute tail risk measures for major stock indices, providing confidence intervals. No bootstrap techniques are described; comparisons and simulations are limited.","Assessing the probability of rare and extreme events is an important issue in the risk management of flnancial portfolios. Extreme value theory provides the solid fundamentals needed for the statistical modelling of such events and the computation of extreme risk measures. The focus of the paper is on the use of extreme value theory to compute tail risk measures and the related confldence intervals, applying it to several major stock market indices.","The paper focuses on using extreme value theory to compute tail risk measures and their related confidence intervals. It applies this methodology to several major stock market indices. The core finding is the application of extreme value theory for statistical modeling of rare and extreme financial events and the computation of extreme risk measures. The paper's relevance summary notes that it uses EVT to compute tail risk measures for major stock indices, providing confidence intervals. However, it does not describe bootstrap techniques, and comparisons and simulations are limited."
"High volatility, thick tails and extreme value theory in value-at-risk estimation","https://www.sciencedirect.com/science/article/pii/S0167668703001677","2003","Journal Article","Insurance Mathematics & Economics","Ramazan Gençay
Faruk Selcuk
Abdurrahman Ulugülyaǧci","10.1016/J.INSMATHECO.2003.07.004","https://repository.bilkent.edu.tr/bitstream/handle/11693/24416/High%20volatility%2C%20thick%20tails%20and%20extreme%20value%20theory%20in%20value-at-risk%20estimation.pdf?sequence=1","Yes","321","UQ_2mnOgaQgJ","","","","","","","","","SciSpace","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Focuses on EVT for VaR in finance, but provides no bootstrap approach, theoretical bootstrap guarantees, or simulation study; offers limited method comparisons.","In this paper, the performance of the extreme value theory in value-at-risk calculations is compared to the performances of other well-known modeling techniques, such as GARCH, variance–covariance (Var–Cov) method and historical simulation in a volatile stock market. The models studied can be classified into two groups. The first group consists of GARCH(1, 1) and GARCH(1, 1)-t models which yield highly volatile quantile forecasts. The other group, consisting of historical simulation, Var–Cov approach, adaptive generalized Pareto distribution (GPD) and nonadaptive GPD models, leads to more stable quantile forecasts. The quantile forecasts of GARCH(1, 1) models are excessively volatile relative to the GPD quantile forecasts. This makes the GPD model be a robust quantile forecasting tool which is practical to implement and regulate for VaR measurements.","The paper compares extreme value theory (EVT) with other modeling techniques for Value-at-Risk (VaR) estimation in a volatile stock market. It classifies models into two groups: GARCH(1,1) and GARCH(1,1)-t models, which produce highly volatile quantile forecasts, and historical simulation, Var-Cov, adaptive GPD, and nonadaptive GPD models, which lead to more stable forecasts. A key finding is that GARCH(1,1) models yield excessively volatile quantile forecasts compared to GPD models. This indicates that the GPD model is a robust, practical, and regulatable tool for VaR measurements."
"The Extreme Value Theory as a Tool to Measure Market Risk","https://scispace.com/papers/the-extreme-value-theory-as-a-tool-to-measure-market-risk-531bbh2q42","2011","Posted Content","Research Papers in Economics","Krenar Avdulaj","","https://scispace.com/pdf/the-extreme-value-theory-as-a-tool-to-measure-market-risk-531bbh2q42.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT as core framework for extreme quantile VaR estimation in finance; lacks bootstrap, theoretical proofs, and dedicated simulation of bootstrap‑EVT.","Assessing the extreme events is crucial in financial risk management. All risk managers and financial institutions want to know the risk of their portfolio under rare events scenarios. We illustrate a multivariate market risk estimating method which employs Monte Carlo simulations to estimate Value-at-Risk (VaR) for a portfolio of 4 stock exchange indexes from Central Europe. The method uses the non-parametric empirical distribution to capture small risks and the parametric Extreme Value theory to capture large and rare risks. We compare estimates of this method with historical simulation and variance-covariance method under low and high volatility samples of data. In general historical simulation method overestimates the VaR for extreme events, while variance-covariance underestimates it. The method that we illustrate gives a result in between because it considers historical performance of the stocks and also corrects for the heavy tails of the distribution. We conclude that the estimate method that we illustrate here is useful in estimating VaR for extreme events, especially for high volatility times.","The paper illustrates a multivariate market risk estimating method using Monte Carlo simulations and Extreme Value Theory (EVT) to estimate Value-at-Risk (VaR) for a portfolio of 4 Central European stock exchange indexes. This method combines non-parametric empirical distribution for small risks and parametric EVT for large, rare risks. Compared to historical simulation, which overestimates VaR for extreme events, and the variance-covariance method, which underestimates it, the illustrated method provides intermediate results by considering historical performance and correcting for heavy tails. The findings suggest this method is useful for estimating VaR during extreme events, particularly in high volatility periods."
"Extreme Risk, Value-At-Risk And Expected Shortfall In The Gold Market","https://scispace.com/papers/extreme-risk-value-at-risk-and-expected-shortfall-in-the-3u95byfzfh","2014","Journal Article","","Knowledge Chinhamu
Chun-Kai Huang
Chun-Sung Huang
Delson Chikobvu","10.19030/IBER.V14I1.9035","https://scispace.com/pdf/extreme-risk-value-at-risk-and-expected-shortfall-in-the-3u95byfzfh.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT/GPD to model gold returns and estimate VaR/ES; compares GPD against Gaussian and t models; applies to finance. No bootstrap within EVT, no theory proofs, no Monte‑Carlo simulation.","Extreme value theory (EVT) has been widely applied in fields such as hydrology and insurance. It is a tool used to reflect on probabilities associated with extreme, and thus rare, events. EVT is useful in modeling the impact of crashes or situations of extreme stress on investor portfolios. It describes the behavior of maxima or minima in a time series, i.e., tails of a distribution. In this paper, we propose the use of generalised Pareto distribution (GPD) to model extreme returns in the gold market. This method provides effective means of estimating tail risk measures such as Value-at-Risk (VaR) and Expected Shortfall (ES). This is confirmed by various backtesting procedures. In particular, we utilize the Kupiec unconditional coverage test and the Christoffersen conditional coverage test for VaR backtesting, while the Bootstrap test is used for ES backtesting. The results indicate that GPD is superior to the traditional Gaussian and Student’s t models for VaR and ES estimations.","The generalized Pareto distribution (GPD) effectively models extreme returns in the gold market, providing accurate estimations for Value-at-Risk (VaR) and Expected Shortfall (ES). Backtesting procedures, including Kupiec unconditional coverage, Christoffersen conditional coverage for VaR, and Bootstrap test for ES, confirmed the method's efficacy. The results indicate that GPD is superior to traditional Gaussian and Student’s t models for both VaR and ES estimations. This suggests GPD offers a more robust approach for estimating tail risk measures in the gold market."
"Multiplier bootstrap of tail copulas with applications","http://arxiv.org/abs/1102.0110v3","2011","Preprint","","Axel Bücher
Holger Dette","10.3150/12-BEJ425","http://arxiv.org/pdf/1102.0110v3","Yes","","","","","","","http://arxiv.org/abs/1102.0110v3","2013-12-11T06:44:52Z","math.ST","math.ST, stat.TH","arXiv","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses multiplier bootstrap for tail copulas with consistency proofs, fitting EVT framework; does not target VaR/ES or compare to other methods, nor include domain application or simulations.","For the problem of estimating lower tail and upper tail copulas, we propose two bootstrap procedures for approximating the distribution of the corresponding empirical tail copulas. The first method uses a multiplier bootstrap of the empirical tail copula process and requires estimation of the partial derivatives of the tail copula. The second method avoids this estimation problem and uses multipliers in the two-dimensional empirical distribution function and in the estimates of the marginal distributions. For both multiplier bootstrap procedures, we prove consistency. For these investigations, we demonstrate that the common assumption of the existence of continuous partial derivatives in the the literature on tail copula estimation is so restrictive, such that the tail copula corresponding to tail independence is the only tail copula with this property. Moreover, we are able to solve this problem and prove weak convergence of the empirical tail copula process under nonrestrictive smoothness assumptions that are satisfied for many commonly used models. These results are applied in several statistical problems, including minimum distance estimation and goodness-of-fit testing.","The paper proposes two multiplier bootstrap procedures for approximating the distribution of empirical tail copulas, proving consistency for both methods. It demonstrates that the common assumption of continuous partial derivatives in tail copula estimation is restrictive, with only tail copulas corresponding to tail independence satisfying this property. The research solves this problem by proving weak convergence of the empirical tail copula process under nonrestrictive smoothness assumptions applicable to many models. These theoretical results are applied to statistical problems such as minimum distance estimation and goodness-of-fit testing."
"Extreme Value Theory: Value at Risk and Returns Dependence Around the World","https://scispace.com/papers/extreme-value-theory-value-at-risk-and-returns-dependence-c2bak8hs50","2003","Posted Content","Research Papers in Economics","Viviana Fernandez","","https://scispace.com/pdf/extreme-value-theory-value-at-risk-and-returns-dependence-c2bak8hs50.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to compute VaR for global stock markets; no bootstrap techniques described; compares EVT VaR to other methods; focuses on finance; lacks theoretical bootstrap proofs or simulation validation.","This paper presents two applications of Extreme Value Theory (EVT) to financial markets: computation of value at risk and assets returns dependence under extreme events (i.e. tail dependence). We use a sample comprised of the United States, Europe, Asia, and Latin America. Our main findings are the following. First, on average, EVT gives the most accurate estimates of value at risk. Second, tail dependence decreases when filtering out heteroscedasticity and serial correlation by multivariate GARCH models. Both findings are in agreement with previous research in this area for other financial markets.","The main findings are that Extreme Value Theory (EVT) provides the most accurate estimates of value at risk. Additionally, tail dependence decreases when heteroscedasticity and serial correlation are filtered out using multivariate GARCH models. These findings are consistent with previous research in other financial markets. The paper applies EVT to financial markets across the United States, Europe, Asia, and Latin America."
"Using extreme value theory to estimate value‐at‐risk","https://www.emerald.com/insight/content/doi/10.1108/00215000380001141/full/html","2003","Journal Article","Agricultural Finance Review","Martin Odening
Jan Hinrichs","10.1108/00215000380001141","https://www.agrar.hu-berlin.de/de/institut/departments/daoe/lbl/dokumente/literatur/VAREVT/@@download/file/VaRUsingEVT.PDF","No","73","vatk3SO5hTcJ","","","","","","","","","SciSpace","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model fat‑tailed returns and estimate multi‑period VaR, directly applying to the German hog market. No bootstrap techniques are presented, limiting relevance to bootstrap‑EVT criteria.","This study examines problems that may occur when conventional Value‐at‐Risk (VaR) estimators are used to quantify market risks in an agricultural context. For example, standard VaR methods, such as the variance‐covariance method or historical simulation, can fail when the return distribution is fat tailed. This problem is aggravated when long‐term VaR forecasts are desired. Extreme Value Theory (EVT) is proposed to overcome these problems. The application of EVT is illustrated by an example from the German hog market. Multi‐period VaR forecasts derived by EVT are found to deviate considerably from standard forecasts. We conclude that EVT is a useful complement to traditional VaR methods.","Extreme Value Theory (EVT) is proposed to overcome issues with conventional Value-at-Risk (VaR) estimators, which can fail for fat-tailed return distributions, particularly for long-term forecasts in an agricultural context. The application of EVT is illustrated using an example from the German hog market. Multi-period VaR forecasts derived by EVT were found to deviate considerably from standard forecasts. The study concludes that EVT serves as a useful complement to traditional VaR methods."
"Extreme value theory versus traditional GARCH approaches applied to financial data: a comparative evaluation","https://scispace.com/papers/extreme-value-theory-versus-traditional-garch-approaches-1mxw0i4nl6","2013","Journal Article","Quantitative Finance","Dolores Furió
Francisco Climent","10.1080/14697688.2012.696679","https://scispace.com/pdf/extreme-value-theory-versus-traditional-garch-approaches-1mxw0i4nl6.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model tails and estimate VaR/ES; compares EVT results with traditional GARCH models on financial data; no bootstrap techniques or theoretical error analysis included.","Although stock prices fluctuate, the variations are relatively small and are frequently assumed to be normally distributed on a large time scale. But sometimes these fluctuations can become determinant, especially when unforeseen large drops in asset prices are observed that could result in huge losses or even in market crashes. The evidence shows that these events happen far more often than would be expected under the generalised assumption of normally distributed financial returns. Thus it is crucial to model distribution tails properly so as to be able to predict the frequency and magnitude of extreme stock price returns. In this paper we follow the approach suggested by McNeil and Frey in 2000 and combine GARCH-type models with the extreme value theory to estimate the tails of three financial index returns – S&P 500, FTSE 100 and NIKKEI 225 – representing three important financial areas in the world. Our results indicate that EVT-based conditional quantile estimates are more accurate than those from c...","The paper's results indicate that Extreme Value Theory (EVT)-based conditional quantile estimates are more accurate than those from traditional GARCH approaches. This finding is based on combining GARCH-type models with EVT to estimate the tails of financial index returns for the S&P 500, FTSE 100, and NIKKEI 225. The study highlights the importance of properly modeling distribution tails to predict the frequency and magnitude of extreme stock price returns."
"Extreme value analysis of daily Canadian crude oil prices","https://scispace.com/papers/extreme-value-analysis-of-daily-canadian-crude-oil-prices-3l7citlw31","2010","Journal Article","Applied Financial Economics","Feng Ren
David E. A. Giles","10.1080/09603101003724323","https://scispace.com/pdf/extreme-value-analysis-of-daily-canadian-crude-oil-prices-3l7citlw31.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model oil price tails and estimate VaR/ES; applies to finance. No bootstrap component; only brief mention of other methods; lacks theory or simulations.","Crude oil markets are highly volatile and risky. Extreme Value Theory (EVT), an approach to modelling and measuring risks under rare events, has seen a more prominent role in risk management in recent years. This article presents an application of EVT to the daily returns of crude oil prices in the Canadian spot market between 1998 and 2006. We focus on the Peak Over Threshold (POT) method by analysing the generalized Pareto-distributed exceedances over some high threshold. This method provides an effective means for estimating tail risk measures such as Value-at-Risk (VaR) and Expected Shortfall (ES). The estimates of risk measures computed under different high quantile levels exhibit strong stability across a range of the selected thresholds. At the 99th quantile, the estimates of VaR are approximately 6.3% and 6.8% for daily positive and negative returns, respectively.","This article applies Extreme Value Theory (EVT) to daily Canadian crude oil prices from 1998 to 2006, specifically using the Peak Over Threshold (POT) method. This method effectively estimates tail risk measures like Value-at-Risk (VaR) and Expected Shortfall (ES). The estimates of risk measures showed strong stability across various high quantile levels. At the 99th quantile, VaR estimates were approximately 6.3% for daily positive returns and 6.8% for daily negative returns. The study highlights EVT's role in modeling and measuring risks under rare events in volatile crude oil markets."
"Characterization of the frequency of extreme events by the Generalized
  Pareto Distribution","http://arxiv.org/abs/cond-mat/0011168v1","2000","Preprint","","V. F. Pisarenko
D. Sornette","10.1007/s00024-003-2397-x","http://arxiv.org/pdf/cond-mat/0011168v1","Yes","","","","","","","http://arxiv.org/abs/cond-mat/0011168v1","2000-11-09T20:37:03Z","cond-mat.stat-mech","cond-mat.stat-mech","arXiv","- **Relevance Score:** 56/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT (GPD via Gnedenko‑Pickands‑Balkema‑de Haan) to model seismic tails. Applies bootstrap to test GPD deviations, though not for VaR/ES. Demonstrates method on earthquake catalog.","Based on recent results in extreme value theory, we use a new technique for the statistical estimation of distribution tails. Specifically, we use the Gnedenko-Pickands-Balkema-de Haan theorem, which gives a natural limit law for peak-over-threshold values in the form of the Generalized Pareto Distribution (GPD). Useful in finance, insurance, hydrology, we investigate here the earthquake energy distribution described by the Gutenberg-Richter seismic moment-frequency law and analyze shallow earthquakes (depth h < 70 km) in the Harvard catalog over the period 1977-2000 in 18 seismic zones. The whole GPD is found to approximate the tails of the seismic moment distributions quite well above moment-magnitudes larger than mW=5.3 and no statistically significant regional difference is found for subduction and transform seismic zones. We confirm that the b-value is very different in mid-ocean ridges compared to other zones (b=1.50=B10.09 versus b=1.00=B10.05 corresponding to a power law exponent close to 1 versus 2/3) with a very high statistical confidence. We propose a physical mechanism for this, contrasting slow healing ruptures in mid-ocean ridges with fast healing ruptures in other zones. Deviations from the GPD at the very end of the tail are detected in the sample containing earthquakes from all major subduction zones (sample size of 4985 events). We propose a new statistical test of significance of such deviations based on the bootstrap method. The number of events deviating from the tails of GPD in the studied data sets (15-20 at most) is not sufficient for determining the functional form of those deviations. Thus, it is practically impossible to give preference to one of the previously suggested parametric families describing the ends of tails of seismic moment distributions.","The Generalized Pareto Distribution (GPD) approximates the tails of seismic moment distributions well for moment-magnitudes larger than mW=5.3, with no significant regional difference found for subduction and transform seismic zones. A statistically confident difference in b-value is observed, with mid-ocean ridges showing b=1.50=B10.09 compared to b=1.00=B10.05 in other zones, suggesting contrasting slow versus fast healing ruptures. Deviations from the GPD are detected at the very end of the tail in a sample of 4985 events, and a new bootstrap-based statistical test for these deviations is proposed. However, the limited number of deviating events (15-20 at most) prevents determining the functional form of these extreme tail deviations or preferring existing parametric families."
"An Application of Extreme Value Theory for Measuring Financial Risk","https://scispace.com/papers/an-application-of-extreme-value-theory-for-measuring-kmbdduc75n","2006","Journal Article","Computing in Economics and Finance","Manfred Gilli
Evis Kellezi","10.1007/S10614-006-9025-7","https://scispace.com/pdf/an-application-of-extreme-value-theory-for-measuring-kmbdduc75n.pdf","Yes","461","","","","","","","","","","SciSpace","- **Relevance Score:** 55/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to compute tail risk measures for major stock indices; lacks bootstrap, alternative comparisons, theoretical proofs, or simulation validation.","Assessing the probability of rare and extreme events is an important issue in the risk management of financial portfolios. Extreme value theory provides the solid fundamentals needed for the statistical modelling of such events and the computation of extreme risk measures. The focus of the paper is on the use of extreme value theory to compute tail risk measures and the related confidence intervals, applying it to several major stock market indices.","The paper's focus is on using extreme value theory to compute tail risk measures and their associated confidence intervals. This methodology was applied to several major stock market indices. The tldr states that the authors used extreme value theory to compute tail risk measures and related confidence intervals, applying it to several major stock market indices, including the S&P 500 and the SVM. The relevance summary indicates that the paper lacks bootstrap, alternative comparisons, theoretical proofs, or simulation validation."
