"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Prediksi Risiko Kerugian Kebakaran Menggunakan Parametric Bootstrap","https://scispace.com/paper/prediksi-risiko-kerugian-kebakaran-menggunakan-parametric-40ddjkqiqwud","2025","Journal Article","Bandung Conference Series Statistics","Tribuana Dewi Anugrah
Sutawanir Darwis","10.29313/bcss.v5i2.20155","","Abstract. Fire is a non-natural disaster that has a significant impact, both materially and non-materially. Extreme loss estimates are needed to support decision-making in risk mitigation and financial protection through insurance. This study aims to predict the maximum potential loss from a single extreme fire event using the Extreme Value Theory (EVT), Generalized Pareto Distribution (GPD), and parametric bootstrap approaches. The data used are fire insurance claims in Norway during the period 1972–1992, totaling 9181 incidents. The Peaks Over Threshold (POT) approach was used to identify extreme data above the threshold at the 90th percentile, which was 3602 (1000 Norwegian Kroner). The extreme data were modelled using GPD with parameter estimation via Maximum Likelihood Estimation (MLE), followed by parametric bootstrap to evaluate uncertainty and calculate Operational Value at Risk (OpVaR) at a 99% confidence level. The average OpVaR from 1000 iterations was 19920.33 (1000 Norwegian Kroner), with a 95% confidence interval between 18005.53 and 22197.63 (1000 Norwegian Kroner). The results indicate that the parametric bootstrap approach effectively enhances the reliability of the GPD model. This study contributes to the development of applied statistical methods in fire risk management and extreme event-based insurance strategy planning. Abstrak. Kebakaran merupakan bencana nonalam yang berdampak signifikan secara materi maupun nonmateri. Estimasi kerugian ekstrem diperlukan untuk mendukung pengambilan keputusan dalam mitigasi risiko dan perlindungan finansial melalui asuransi. Penelitian ini bertujuan memprediksi potensi kerugian maksimum dari satu kejadian kebakaran ekstrem menggunakan pendekatan Extreme Value Theory (EVT), Generalized Pareto Distribution (GPD), dan parametric bootstrap. Data yang digunakan adalah klaim asuransi kebakaran di Norwegia selama periode 1972–1992 sebanyak 9181 kejadian. Pendekatan Peaks Over Threshold (POT) digunakan untuk mengidentifikasi data ekstrem di atas ambang batas pada persentil ke-90, yaitu sebesar 3602 (1000 Krona Norwegia). Data ekstrem dimodelkan menggunakan GPD dengan estimasi parameter melalui Maximum Likelihood Estimation (MLE), dilanjutkan parametric bootstrap untuk mengevaluasi ketidakpastian dan menghitung Operational Value at Risk (OpVaR) pada tingkat kepercayaan 99%. Rata-rata OpVaR dari 1000 iterasi sebesar 19920.33 (1000 Krona Norwegia), dengan interval kepercayaan 95% antara 18005.53 hingga 22197.63 (1000 Krona Norwegia). Hasil menunjukkan bahwa pendekatan parametric bootstrap efektif memperkuat keandalan model GPD. Penelitian ini berkontribusi pada pengembangan metode statistik terapan dalam manajemen risiko kebakaran serta perencanaan strategi asuransi berbasis kejadian ekstrem. ","This study predicts maximum potential fire loss using EVT, GPD, and parametric bootstrap approaches, estimating Operational Value at Risk (OpVaR) at 19920.33 (1000 Norwegian Kroner) with a 95% confidence interval, enhancing the reliability of the GPD model for fire risk management and insurance strategy planning."
"Risk-Averse Action Selection Using Extreme Value Theory Estimates of the CVaR.","https://scispace.com/paper/risk-averse-action-selection-using-extreme-value-theory-a5i65gdak3dy","","","","Dylan Troop
Frédéric Godin
Jia Yuan Yu","10.48550/arxiv.1912.01718","","The Conditional Value-at-Risk (CVaR) is a useful risk measure in machine learning, finance, insurance, energy, etc. When the CVaR confidence parameter is very high, estimation by sample averaging exhibits high variance due to the limited number of samples above the corresponding threshold. To mitigate this problem, we present an estimation procedure for the CVaR that combines extreme value theory and a recently introduced method of automated threshold selection by Bader et al. (2018). Under appropriate conditions, we estimate the tail risk using a generalized Pareto distribution. We compare empirically this estimation procedure with the naive method of sample averaging, and show an improvement in accuracy for some specific cases. We also show how the estimation procedure can be used in reinforcement learning by applying our method to the multi-armed bandit problem where the goal is to avoid catastrophic risk.","This paper proposes a risk-averse action selection method using extreme value theory estimates of Conditional Value-at-Risk (CVaR), improving accuracy over naive sample averaging, particularly in high-confidence scenarios and reinforcement learning applications like multi-armed bandits."
"Bootstrapping Extreme Value Statistics","https://scispace.com/paper/bootstrapping-extreme-value-statistics-3apuquzbdj","2016","","","T.M. Groen","","https://scispace.com/pdf/bootstrapping-extreme-value-statistics-3apuquzbdj.pdf","In this thesis we investigate the use of bootstrapping schemes to estimate the variance of estimators from extreme value theory. We consider estimators for the extreme value index, the central parameter in extreme value theory, and extreme quantiles for two fundamental ap- proaches in extreme value theory. We analyse the Hill estimator for the extreme value index and the Weissman estimator for extreme quantiles from the peaks over threshold approach and the probability weighted moment estimators for the extreme value index and extreme quantiles from the block maxima approach. We find the limiting distributions of a boot- strapped sample and bootstrapped block maxima and subsequently determine the asymptotic behaviour of the bootstrapped Hill estimator and the bootstrapped probability weighted mo- ment estimators. For the latter estimators, we provide an heuristic argument to show that one may use the sample variance of bootstrapped estimators to estimate the variance of the initial estimator.","In this paper, the authors investigate the use of bootstrapping schemes to estimate the variance of estimators from extreme value theory, and find the limiting distributions of a boot-strapped sample and bootstrapped block maxima."
"Mixed-Tail Quantile Functions for Extreme Value Analysis","https://scispace.com/paper/mixed-tail-quantile-functions-for-extreme-value-analysis-u7hs3poe7hz9","2025","Journal Article","","Edoardo Redivo
Alessio Farcomeni
Cinzia Viroli","10.21203/rs.3.rs-7328610/v1","","<title>Abstract</title> This paper introduces a parametric mixed-tail quantile model which flexibly combines Gumbel, Fr\'echet, and Weibull tail behaviors through weighted quantile functions. Unlike classical extreme value models, our approach simultaneously captures multiple tail types, enhancing finite-sample adaptability and modeling accuracy. Parameters are estimated using a computationally efficient least squares approach based on the expected order statistics. We establish asymptotic properties, and address inference challenges via bootstrap methods. Theoretical results, including tail dominance and adaptive bias–variance decomposition, guide practical quantile estimation. Simulations and an application on global ice extents demonstrate improved performance in modeling extreme quantiles. ","This paper introduces a mixed-tail quantile model combining Gumbel, Fréchet, and Weibull tail behaviors, enhancing finite-sample adaptability and modeling accuracy through a weighted quantile function approach with computationally efficient parameter estimation."
"Beyond the Sample: Extreme Quantile and Probability Estimation","https://scispace.com/paper/beyond-the-sample-extreme-quantile-and-probability-4l68gl0eyz","1997","Posted Content","Research Papers in Economics","Jon Danielsson
Casper G. de Vries","","https://www.econstor.eu/bitstream/10419/85542/1/98016.pdf","textEconomic problems such as large claims analysis in insurance and value-at-risk in finance, require assessment of the probability P of extreme realizations Q. This paper provided a semi-parametric method for estimation of extreme (P, Q) combinations for data with heavy tails. We solve the long standing problem of estimating the sample treshold of where the tail of the distribution starts. This is accomplished by the combination of a control variate type device and a subsample bootstrap technique. The subsample bootstrap attains convergence in probability, whereas the full sample bootstrap would only provide convergence in distribution. This permits a complete and comprehensive treatment of extreme (P, Q) estimation.","In this article, a semi-parametric method for estimating the sample threshold of where the tail of the distribution starts was proposed, which is accomplished by the combination of a control variate type device and a subsample bootstrap technique."
"Crude oil futures tail risk measurement based on extreme value theory","https://scispace.com/paper/crude-oil-futures-tail-risk-measurement-based-on-extreme-3j2s34wb","2023","Journal Article","International Journal of Global Energy Issues","Shun-Ping Chen","10.1504/ijgei.2023.127631","","In this paper, we use three common tail risk measurements of Value-at-Risk (VaR), Expected Shortfall (ES) and Spectral Risk Measure (SRM) to calculate the tail risk of crude oil futures based on extreme value theory. Specifically, we propose a method to determine the optimal threshold in the extreme value theory, and further to calculate the values of VaR, ES and SRM based on Peak Over Threshold (POT) model. Empirical results show that the extreme value POT model can be used to characterise the tail risk of the price return under extreme fluctuations in Brent crude oil futures market. Moreover, the risk of VaR, ES and SRM in the Brent crude oil futures market based on extreme value theory is higher than that under the normal distribution assumption, which indicates that the traditional normal distribution assumption underestimates the tail risk. Owing the flexibility and the accuracy, we suggest that investors use ERM to measure the extreme risk of crude oil futures. ","In this article , the authors proposed a method to determine the optimal threshold in the extreme value theory, and further calculated the values of value-at-risk (VaR), expected shortfall (ES), and Spectral Risk Measure (SRM) based on peak over threshold (POT) model."
"A Partially Reduced Bias Class of Value-at-Risk Estimators","https://scispace.com/paper/a-partially-reduced-bias-class-of-value-at-risk-estimators-3aq44tyjpw","2015","","","M. Ivette Gomes
Frederico Caeiro
Fernanda Figueiredo
Dinis Pestana","","","For any level q, 0 < q < 1, and on the basis of a sample (X1, . . . , Xn) of either independent, identically distributed or possibly weakly dependent and stationary random variables from an unknown model F with a heavy right-tail function, the value-at-risk at the level q, denoted by VaRq, the size of the loss that occurred with a small probability q, is estimated by a recent semi-parametric procedure based on a partially reduced-bias extreme value index (EVI) class of estimators, a generalization of the classical Hill EVI-estimator, related to the mean-of-order-p of an adequate set of statistics. Such an estimator depends on two tuning parameters p and k, with p ≥ 0 and 1 ≤ k < n the number of top order statistics involved in the semi-parametric estimation, and outperforms previous estimation procedures. The adequate choice of k and p can be done through the use of either a computer-intensive double-bootstrap method or through reliable heuristic procedures. An application in the field of finance is also provided.","In this article, a semi-parametric estimator based on the partially reduced-bias extreme value index (EVI) class of estimators is proposed. But the estimator depends on two tuning parameters p and k, with p ≥ 0 and 1 ≤ k < n the number of top order statistics involved in the estimation."
"Resampling-Based Methodologies in Statistics of Extremes: Environmental and Financial Applications","https://scispace.com/paper/resampling-based-methodologies-in-statistics-of-extremes-242ee66dow","2015","Book Chapter","","M. Ivette Gomes
Lígia Henriques-Rodrigues
Fernanda Figueiredo","10.1007/978-3-319-16121-1_6","","Resampling computer intensive methodologies, like the jackknife and the bootstrap are important tools for a reliable semi-parametric estimation of parameters of extreme or even rare events. Among these parameters we mention the extreme value index, ξ, the primary parameter in statistics of extremes. Most of the semi-parametric estimators of this parameter show the same type of behaviour: nice asymptotic properties, but a high variance for small k, the number of upper order statistics used in the estimation, a high bias for large k, and the need for an adequate choice of k. After a brief reference to some estimators of the aforementioned parameter and their asymptotic properties we present an algorithm that deals with an adaptive reliable estimation of ξ. Applications of these methodologies to the analysis of environmental and financial data sets are undertaken.","An algorithm is presented that deals with an adaptive reliable estimation of the extreme value index, ξ, the primary parameter in statistics of extremes, with nice asymptotic properties."
"Efficient bootstrap estimates for tail statistics","https://scispace.com/paper/efficient-bootstrap-estimates-for-tail-statistics-29sclsg23l","2016","Journal Article","Natural Hazards and Earth System Sciences","Øyvind Breivik
Øyvind Breivik
Ole Johan Aarnes","10.5194/NHESS-17-357-2017","https://scispace.com/pdf/efficient-bootstrap-estimates-for-tail-statistics-29sclsg23l.pdf",". Bootstrap resamples can be used to investigate the tail of empirical distributions as well as return value estimates from the extremal behaviour of the sample. Specifically, the confidence intervals on return value estimates or bounds on in-sample tail statistics can be obtained using bootstrap techniques. However, non-parametric bootstrapping from the entire sample is expensive. It is shown here that it suffices to bootstrap from a small subset consisting of the highest entries in the sequence to make estimates that are essentially identical to bootstraps from the entire sample. Similarly, bootstrap estimates of confidence intervals of threshold return estimates are found to be well approximated by using a subset consisting of the highest entries. This has practical consequences in fields such as meteorology, oceanography and hydrology where return values are calculated from very large gridded model integrations spanning decades at high temporal resolution or from large ensembles of independent and identically distributed model fields. In such cases the computational savings are substantial.","In this paper, it is shown that it suffices to bootstrap from a small subset consisting of the highest entries in the sequence to make estimates that are essentially identical to bootstraps from the entire sample."
"Calculating quantile risk measures for financial return series using extreme value theory","https://scispace.com/paper/calculating-quantile-risk-measures-for-financial-return-2t4m8wc3wq","1998","","","Alexander J. McNeil","10.3929/ETHZ-A-004320029","","We consider the estimation of quantiles in the tail of the marginal distribution of financial return series, using extreme value statistical methods based on the limiting distribution for block maxima of stationary time series. A simple methodology for quantification of worst case scenarios, such as ten or twenty year losses is proposed. We validate methods on a simulated series from an ARCH(1) process showing some of the features of real financial data, such as fat tails and clustered extreme values; we then analyse daily log returns on a share price.","In this paper, the authors consider the estimation of quantiles in the tail of the marginal distribution of financial return series, using extreme value statistical methods based on the limiting distribution for block maxima of stationary time series."
"Which Extreme Values Are Really Extreme","https://scispace.com/paper/which-extreme-values-are-really-extreme-2f2596fzyv","2004","Journal Article","Journal of Financial Econometrics","Jesus Gonzalo
Jose Olmo","10.1093/JJFINEC/NBH014","https://scispace.com/pdf/which-extreme-values-are-really-extreme-2f2596fzyv.pdf","We define the extreme values of any random sample of size n from a distribution function F as the observations exceeding a threshold and following a type of generalized Pareto distribution (GPD) involving the tail index of F. The threshold is the order statistic that minimizes a Kolmogorov-Smirnov statistic between the empirical distribution of the corresponding largest observations and the corresponding GPD. To formalize the definition we use a semiparametric bootstrap to test the corresponding GPD approximation. Finally, we use our methodology to estimate the tail index and value at risk (VaR) of some financial indexes of major stock markets.","In this article, the extreme values of any random sample of size n from a distribution function F are defined as the observations exceeding a threshold and following a type of generalized Pareto distribution involving the tail index of F. The threshold is the order statistic that minimizes a Kolmogorov-Smirnov statistic between the empirical distribution of the corresponding largest observations and the corresponding GPD."
"Which Extreme Values are Really Extreme","https://scispace.com/paper/which-extreme-values-are-really-extreme-7h3tyg4g1w","2004","Posted Content","Social Science Research Network","Jesus Gonzalo
Jose Olmo
Jose Olmo","","","We define the extreme values of any random sample of size n from a distribution function F as the observations exceeding a threshold and following a type of generalized Pareto distribution (GPD) involving the tail index of F. The threshold is the order statistic that minimizes a Kolmogorov-Smirnov statistic between the empirical distribution of the corresponding largest observations and the corresponding GPD. To formalize the definition we use a semiparametric bootstrap to test the corresponding GPD approximation. Finally, we use our methodology to estimate the tail index and value at risk (VaR) of some financial indexes of major stock markets.","In this paper, the extreme values of any random sample of size n from a distribution function F are defined as the observations exceeding a threshold and following a type of generalized Pareto distribution involving the tail index of F. The threshold is the order statistic that minimizes a Kolmogorov-Smirnov statistic between the empirical distribution of the corresponding largest observations and the corresponding GPD."
"Extreme Value Theory for Tail-Related Risk Measures","https://scispace.com/paper/extreme-value-theory-for-tail-related-risk-measures-4gb1apgc6s","2000","Posted Content","","Evis Kellezi
Manfred Gilli","","","Many fields of modern science and engineering have to deal with events which are rare but have significant consequences. Extreme value theory is considered to provide the basis for the statistical modeling of such extremes. The potential of extreme value theory applied to financial problems has only been recognized recently. This paper aims at introducing the fundamentals of extreme value theory as well as practical aspects for estimating and assessing statistical models for tail-related risk measures.","In this paper, the authors introduce the fundamentals of extreme value theory as well as practical aspects for estimating and assessing statistical models for tail-related risk measures for risk measures in financial problems."
"Measuring risks in the extreme tail: The extreme VaR and its confidence interval","https://scispace.com/paper/measuring-risks-in-the-extreme-tail-the-extreme-var-and-its-qyukvzkg01","2017","Posted Content","Research Papers in Economics","Dominique Guegan
Bertrand K. Hassani
Kehan Li","","","Contrary to the current regulatory trend concerning extreme risks, the purpose of this paper is to emphasize the necessity of considering the Value-at-Risk (VaR) with extreme confidence levels like 99.9%, as an alternative way to measure risks in the ""extreme tail"". Although the mathematical definition of the extreme VaR is trivial, its computation is challenging in practice, because the uncertainty of the extreme VaR may not be negligible for a finite amount of data. We begin to build confidence intervals around the unknown VaR. We build them using two different approaches, the first using Smirnov's result (Smirnov, 1949 [24]) and the second Zhu and Zhou's result (Zhu and Zhou, 2009 [25]), showing that this last one is robust when we use finite samples. We compare our approach with other methodologies which are based on bootstrapping techniques, Christoffersen et al. (2005) [7], focusing on the estimation of the extreme quantiles of a distribution. Finally, we apply these confidence intervals to perform a stress testing exercice with historical stock returns during financial crisis, for identifying potential violations of the VaR during turmoil periods on financial markets.","In this article, the authors emphasize the necessity of considering the Value-at-Risk (VaR) with extreme confidence levels like 99.9%, as an alternative way to measure risks in the ""extreme tail""."
"Measuring risks in the tail: The extreme VaR and its confidence interval","https://scispace.com/paper/measuring-risks-in-the-tail-the-extreme-var-and-its-1l8o7wu873","2017","Journal Article","Risk and Decision Analysis","Dominique Guegan
Bertrand K. Hassani
Kehan Li","10.3233/RDA-170128","","Contrary to the current regulatory trend regarding extreme risks, the purpose of this paper is to emphasize the necessity of considering the Value-at-Risk (VaR) with extreme confidence levels like 99.9%, as an alternative way of measuring risks in the ""extreme tail"". Although the mathematical definition of the extreme VaR is trivial, its computation is challenging in practice, because the uncertainty of the extreme VaR may not be negligible for a finite amount of data. We begin to build confidence intervals around the unknown VaR. We build them using two different approaches, the first one uses the asymptotic Gaussian result and the second saddlepoint approach, the latter proves to be more robust when we use finite samples. We compare our approach with other methodologies which are based on bootstrapping techniques, focusing on the estimation of the extreme quantiles of a distribution. Finally, we apply these confidence intervals to perform a stress testing exercice with historical stock returns during the financial crisis, in order to identify potential violations of the VaR during periods of turmoil on financial markets.","This paper begins to build confidence intervals around the unknown VaR, and applies these confidence intervals to perform a stress testing exercice with historical stock returns during the financial crisis, in order to identify potential violations of the VaR during periods of turmoil on financial markets."
"Refining Value-at-Risk estimates : an extreme value theory approach","https://scispace.com/paper/refining-value-at-risk-estimates-an-extreme-value-theory-3ip9daomft","2018","Dissertation","","Marius Galabe Sampid","","","This thesis proposes new approaches to Value-at-Risk estimation using (1) Multivariate GARCH Dynamic Conditional Correlation volatility model with skewed Student’s-t distributions, (2) Bayesian GARCH model with Student’s-t distribution, and (3) Bayesian Markov-Switching GJR-GARCH model with skewed Student’s-t distributions, incorporating
copula functions and extreme value theory. A new approach for selecting a proper threshold in the Peaks Over Threshold method for extreme value theory analysis called the hybrid method is also proposed. The proposed Value-at-Risk models are compared to the traditional Value-at-Risk models commonly used by banks. Back-testing results following Kupiec (1995) unconditional coverage test, Christoffersen (1998) independent and conditional coverage test, Basel traffic light test, Santos and Alves (2012) new independent test, Dowd (2002) bootstrap back-test, and Engle and Manganelli (2004) Dynamic Quantile test show that Value-at-Risk models constructed following extreme value theory
produced reliable Value-at-Risk estimates. Furthermore, Value-at-Risk models incorporating the hybrid method for threshold selection produced more stable Value-at-Risk estimates compared to the traditional Value-at-Risk models.","In this paper, the authors proposed new approaches to value-at-risk estimation using (1) Multivariate GARCH Dynamic Conditional Correlation volatility model with skewed Student’s-t distributions, (2) Bayesian GARCH model with Student's-t distribution, and (3) bayesian Markov-Switching GJR-GARCH model, incorporating the inversecopula functions and extreme value theory."
"Resampling Methodologies and Reliable Tail Estimation","https://scispace.com/paper/resampling-methodologies-and-reliable-tail-estimation-2as2v4osw2","2015","Journal Article","South African Statistical Journal","M. Ivette Gomes
M. João Martins
M. Manuela Neves
Fernanda Figueiredo","","https://scispace.com/pdf/resampling-methodologies-and-reliable-tail-estimation-2as2v4osw2.pdf","Resampling methodologies, like the generalised jackknife and the bootstrap are important tools for a reliable semi-parametric estimation of parameters of extreme or even rare events. Among these parameters we mention the extreme value index, denoted ξ, the primary parameter in statistics of extremes, and the extremal index, denoted θ, a measure of clustering of extreme events. Most of the semi-parametric estimators of these parameters show the same type of behaviour: nice asymptotic properties, but a high variance for small k, the number of upper order statistics used in the estimation, a high bias for large k, and the need for an adequate choice of k. After a brief reference to some estimators of the aforementioned parameters and their asymptotic properties we present algorithms for an adaptive reliable estimation of ξ and θ.","In this paper, the authors present an adaptive semi-parametric estimator of the extreme value index and the extremal index, which is a measure of clustering of extreme events, using the generalised jackknife and the bootstrap."
"Value at Risk Estimation Using Extreme Value Theory","https://scispace.com/paper/value-at-risk-estimation-using-extreme-value-theory-z7vw6h1mr1hw","","","","Abhay K. Singh
David E. Allen
Robert J. Powell","10.36334/modsim.2011.d6.singh","","A common assumption in quantitative financial risk modelling is the distributional assumption of normality in the asset's return series, which makes modelling easy but proves to be inefficient if the data exhibit extreme tails. When dealing with extreme financial events like the Global Financial Crisis of 2007-2008 while quantifying extreme market risk, Extreme Value Theory (EVT) proves to be a natural statistical modelling technique of interest. Extreme Value Theory provides well established statistical models for the computation of extreme risk measures like the Return Level, Value at Risk and Expected Shortfall. In this paper we apply Univariate Extreme Value Theory to model extreme market risk for the ASX-All Ordinaries (Australian) index and the S&P-500 (USA) Index. We demonstrate that EVT can be successfully applied to Australian stock market return series for predicting next day VaR by using a GARCH(1,1) based dynamic EVT approach. We also show with backtesting results that EVT based method outperforms GARCH(1,1) and RiskMetrics T M based forecasts.","This paper applies Extreme Value Theory to estimate Value at Risk (VaR) for the ASX-All Ordinaries and S&P-500 indices, demonstrating its effectiveness in predicting next-day VaR and outperforming traditional GARCH and RiskMetrics models through backtesting results."
"Extreme Value Theory and its Applications to Financial Risk Management","https://scispace.com/paper/extreme-value-theory-and-its-applications-to-financial-risk-508j9tslkj","1998","Posted Content","Social Science Research Network","G. Tsevas
John Panaretos","","","The phenomenon of high volatility in financial markets stemming from the increased complexity of financial instruments traded, as well as the evidence of losses due to natural and man-made catastrophes, highlight the need for sophisticated risk management practices. The analysis concerning the statistical distribution of extreme events (e.g. stock market crashes), is considered to be important for modern risk management. In this review paper, an introduction to the basic results of Extreme Value Theory (EVT) is made. More specifically, the methodological basis of EVT for quantile estimation is introduced. Moreover, EVT methods for estimating conditional probabilities concerning tail events, given that we incur a loss beyond a certain threshold u, are presented. Finally, the application of the theory is demonstrated by considering an example using equity return data","In this paper, an introduction to the basic results of Extreme Value Theory (EVT) is made, and the methodological basis of EVT for quantile estimation is introduced, and methods for estimating conditional probabilities concerning tail events, given that we incur a loss beyond a certain threshold u, are presented."
"Extreme Value Theory and its Applications to Financial Risk Management","https://scispace.com/paper/extreme-value-theory-and-its-applications-to-financial-risk-3zwr18o49e","1998","Posted Content","Research Papers in Economics","G. Tsevas
John Panaretos","","","The phenomenon of high volatility in financial markets stemming from the increased complexity of financial instruments traded, as well as the evidence of losses due to natural and man-made catastrophes, highlight the need for sophisticated risk management practices. The analysis concerning the statistical distribution of extreme events (e.g. stock market crashes), is considered to be important for modern risk management. In this review paper, an introduction to the basic results of Extreme Value Theory (EVT) is made. More specifically, the methodological basis of EVT for quantile estimation is introduced. Moreover, EVT methods for estimating conditional probabilities concerning tail events, given that we incur a loss beyond a certain threshold u, are presented. Finally, the application of the theory is demonstrated by considering an example using equity return data","In this article, an introduction to the basic results of Extreme Value Theory (EVT) is made, and the methodological basis of EVT for quantile estimation is introduced, and methods for estimating conditional probabilities concerning tail events, given that we incur a loss beyond a certain threshold u, are presented."
"On the estimation of extreme tail probabilities","https://scispace.com/paper/on-the-estimation-of-extreme-tail-probabilities-46f6e4ah6v","1997","Journal Article","Annals of Statistics","Peter Hall
Ishay Weissman","10.1214/AOS/1069362750","https://scispace.com/pdf/on-the-estimation-of-extreme-tail-probabilities-46f6e4ah6v.pdf","Applications of extreme value theory to problems of statistical inference typically involve estimating tail probabilities well beyond the range of the data, without the benefit of a concise mathematical model for the sampling distribution. The available model is generally only an asymptotic one. That is, an approximation to probabilities of extreme deviation is supposed, which is assumed to become increasingly accurate as one moves further from the range of the data, but whose concise accuracy is unknown. Quantification of the level of accuracy is essential for optimal estimation of tail probabilities. In the present paper we suggest a practical device, based on a nonstandard application of the bootstrap, for determining empirically the accuracy of the approximation and thereby constructing appropriate estimators.","In this paper, a practical device based on a nonstandard application of the bootstrap is proposed for determining empirically the accuracy of the approximation and thereby constructing appropriate estimators. But this method is not suitable for the problem of tail probability estimation."
"Systematic Tail Risk Management with Extreme Value Theory","https://scispace.com/paper/systematic-tail-risk-management-with-extreme-value-theory-3rwf9mlpq2","2007","Posted Content","Social Science Research Network","Rahul Malhotra","","","Empirical distributions of financial data are frequently observed to have “heavy tails”, i.e. a greater probability of extreme events than can be accounted for by the standard normal distribution. Non-normal modeling of the tails is therefore a topic of active research in risk management. This area draws heavily from a branch of mathematics known as “Extreme Value Theory” (EVT). In this article we apply results from EVT to returns of major US stock indices to show that the tails should follow a power-law form i.e. f(x) ~ |x|^(-α) for large negative returns “x”. We also develop a methodology to systematically estimate the tail index,α, which is a measure of how quickly the probability diminishes as returns get more extreme. We also provide a systematic way of defining the tail region of a distribution. Applications to calculation of tail risk metrics such as VaR and Expected Tail Loss are also discussed.","In this article, the authors apply results from Extreme Value Theory (EVT) to returns of major US stock indices to show that the tails should follow a power-law form for large negative returns."
"Extreme Value Theory for Finance: A Survey","https://scispace.com/paper/extreme-value-theory-for-finance-a-survey-dqgn8h2vub","2012","Journal Article","Social Science Research Network","Marco Rocco","10.2139/SSRN.1998740","https://scispace.com/pdf/extreme-value-theory-for-finance-a-survey-dqgn8h2vub.pdf","Extreme value theory is concerned with the study of the asymptotical distribution of extreme events, that is to say events which are rare in frequency and huge with respect to the majority of observations. Statistical methods derived from this theory have been increasingly employed in finance, especially in the context of risk measurement. The aim of the present study is twofold. The first part delivers a critical review of the theoretical underpinnings of extreme value theory. The second part provides a survey of some major applications of extreme value theory to finance, namely its use to test different distributional assumptions for the data, Value-at-Risk and Expected Shortfall calculations, asset allocation under safety-first type constraints and the study of contagion and dependence across markets under stress conditions.","In this paper, the authors provide a critical review of the theoretical underpinnings of extreme value theory and provide a survey of some major applications of Extreme Value theory to finance, namely its use to test different distributional assumptions for the data, value-at-risk and expected shortfall calculations, asset allocation under safety-first type constraints and the study of contagion and dependence across markets under stress conditions."
"Value at Risk Estimation Using Extreme Value Theory","https://scispace.com/paper/value-at-risk-estimation-using-extreme-value-theory-6hyr99bitq","2011","Proceedings Article","Congress on Modelling and Simulation","Abhay K. Singh
David E. Allen
Robert Powell","","https://scispace.com/pdf/value-at-risk-estimation-using-extreme-value-theory-6hyr99bitq.pdf","A common assumption in quantitative financial risk modelling is the distributional assumption of normality in the asset's return series, which makes modelling easy but proves to be inefficient if the data exhibit extreme tails When dealing with extreme financial events like the Global Financial Crisis of 2007-2008 while quantifying extreme market risk, Extreme Value Theory (EVT) proves to be a natural statistical modelling technique of interest Extreme Value Theory provides well established statistical models for the computation of extreme risk measures like the Return Level, Value at Risk and Expected Shortfall In this paper we apply Univariate Extreme Value Theory to model extreme market risk for the ASX-All Ordinaries (Australian) index and the S&P-500 (USA) Index We demonstrate that EVT can be successfully applied to Australian stock market return series for predicting next day VaR by using a GARCH(1,1) based dynamic EVT approach We also show with backtesting results that EVT based method outperforms GARCH(1,1) and RiskMetrics T M based forecasts","In this paper, the authors apply Univariate Extreme Value Theory (EVT) to model extreme market risk for the ASX-All Ordinaries (Australian) index and the S&P-500 (USA) Index."
"A Bootstrap-based Method to Achieve Optimality in Estimating the Extreme-value Index","https://scispace.com/paper/a-bootstrap-based-method-to-achieve-optimality-in-estimating-1zhbzh52k2","1999","Journal Article","Extremes","G. Draisma
L. de Haan
Liang Peng
Teresa T. Pereira","10.1023/A:1009900215680","https://scispace.com/pdf/a-bootstrap-based-method-to-achieve-optimality-in-estimating-1zhbzh52k2.pdf","Estimators of the extreme-value index are based on a set of upper order statistics. We present an adaptive method to choose the number of order statistics involved in an optimal way, balancing variance and bias components. Recently this has been achieved for the similar but some what less involved case of regularly varying tails (Drees and Kaufmann, 1997); Danielsson et al., 1996). The present paper follows the line of proof of the last mentioned paper.","In this article, the authors present an adaptive method to choose the number of order statistics involved in an optimal way, balancing variance and bias components, which has been achieved for the similar but some what less involved case of regularly varying tails."
